cefr_level,category,lemma,term,translation,article,aliases
A1,nouns,Tisch,der Tisch,table,der,
A1,nouns,Buch,das Buch,book,das,
A1,nouns,Haus,das Haus,house,das,
A1,nouns,Stadt,die Stadt,city,die,
A1,nouns,Schule,die Schule,school,die,
A1,nouns,Arbeit,die Arbeit,work,die,
A1,nouns,Freund,der Freund,friend,der,
A1,nouns,Familie,die Familie,family,die,
A1,nouns,Frage,die Frage,question,die,
A1,nouns,Antwort,die Antwort,answer,die,
A1,nouns,Zeit,die Zeit,time,die,
A1,nouns,Tag,der Tag,day,der,
A1,nouns,Abend,der Abend,evening,der,
A1,nouns,Morgen,der Morgen,morning,der,
A1,nouns,Stunde,die Stunde,hour,die,
A1,nouns,Sprache,die Sprache,language,die,
A1,nouns,Name,der Name,name,der,
A1,nouns,Wasser,das Wasser,water,das,
A1,nouns,Brot,das Brot,bread,das,
A1,nouns,Straße,die Straße,street,die,
A1,verbs,sein,sein,to be,,
A1,verbs,haben,haben,to have,,
A1,verbs,gehen,gehen,to go,,
A1,verbs,kommen,kommen,to come,,
A1,verbs,machen,machen,to do,,
A1,verbs,lernen,lernen,to learn,,
A1,verbs,sprechen,sprechen,to speak,,
A1,verbs,wohnen,wohnen,to live,,
A1,verbs,brauchen,brauchen,to need,,
A1,verbs,finden,finden,to find,,
A1,verbs,fragen,fragen,to ask,,
A1,verbs,arbeiten,arbeiten,to work,,
A1,verbs,lesen,lesen,to read,,
A1,verbs,schreiben,schreiben,to write,,
A1,verbs,hören,hören,to hear,,
A1,verbs,trinken,trinken,to drink,,
A1,verbs,essen,essen,to eat,,
A1,adjectives,gut,gut,good,,
A1,adjectives,klein,klein,small,,
A1,adjectives,groß,groß,big,,
A1,adjectives,neu,neu,new,,
A1,adjectives,alt,alt,old,,
A1,adjectives,wichtig,wichtig,important,,
A1,adjectives,richtig,richtig,correct,,
A1,adjectives,einfach,einfach,simple,,
A1,adjectives,deutsch,deutsch,German,,
A1,adjectives,schnell,schnell,fast,,
A1,adjectives,langsam,langsam,slow,,
A1,adverbs,heute,heute,today,,
A1,adverbs,morgen,morgen,tomorrow,,
A1,adverbs,dort,dort,there,,
A1,adverbs,hier,hier,here,,
A1,adverbs,gern,gern,gladly,,
A1,adverbs,immer,immer,always,,
A1,adverbs,oft,oft,often,,
A1,prepositions,in,in,in,,
A1,prepositions,an,an,on,,
A1,prepositions,auf,auf,on top of,,
A1,prepositions,mit,mit,with,,
A1,prepositions,für,für,for,,
A1,prepositions,ohne,ohne,without,,
A1,prepositions,unter,unter,under,,
A1,prepositions,über,über,over,,
A1,phrases,guten morgen,Guten Morgen,good morning,,
A1,phrases,wie geht es dir,Wie geht es dir?,how are you,,
A1,phrases,ich verstehe nicht,Ich verstehe nicht.,I do not understand,,
A1,phrases,vielen dank,Vielen Dank,thank you very much,,
A1,phrases,bis später,Bis später,see you later,,
A2,nouns,Entscheidung,die Entscheidung,decision,die,
A2,nouns,Beispiel,das Beispiel,example,das,
A2,nouns,Erfahrung,die Erfahrung,experience,die,
A2,nouns,Möglichkeit,die Möglichkeit,possibility,die,
A2,nouns,Problem,das Problem,problem,das,
A2,nouns,Reise,die Reise,trip,die,
A2,nouns,Meinung,die Meinung,opinion,die,
A2,nouns,Geschichte,die Geschichte,story,die,
A2,nouns,Nachricht,die Nachricht,message,die,
A2,nouns,Wohnung,die Wohnung,apartment,die,
A2,nouns,Umgebung,die Umgebung,surroundings,die,
A2,nouns,Lösung,die Lösung,solution,die,
A2,verbs,verstehen,verstehen,to understand,,
A2,verbs,erklären,erklären,to explain,,
A2,verbs,bedeuten,bedeuten,to mean,,
A2,verbs,erzählen,erzählen,to tell,,
A2,verbs,beginnen,beginnen,to begin,,
A2,verbs,vergessen,vergessen,to forget,,
A2,verbs,bezahlen,bezahlen,to pay,,
A2,verbs,treffen,treffen,to meet,,
A2,verbs,ändern,ändern,to change,,
A2,verbs,besuchen,besuchen,to visit,,
A2,adjectives,schwierig,schwierig,difficult,,
A2,adjectives,bequem,bequem,comfortable,,
A2,adjectives,deutlich,deutlich,clear,,
A2,adjectives,freundlich,freundlich,friendly,,
A2,adjectives,pünktlich,pünktlich,punctual,,
A2,adjectives,möglich,möglich,possible,,
A2,adjectives,verschieden,verschieden,different,,
A2,adjectives,interessant,interessant,interesting,,
A2,adjectives,gesund,gesund,healthy,,
A2,adverbs,vielleicht,vielleicht,perhaps,,
A2,adverbs,bereits,bereits,already,,
A2,adverbs,zusammen,zusammen,together,,
A2,adverbs,besonders,besonders,especially,,
A2,adverbs,wirklich,wirklich,really,,
A2,prepositions,zwischen,zwischen,between,,
A2,prepositions,gegen,gegen,against,,
A2,prepositions,seit,seit,since,,
A2,prepositions,während,während,during,,
A2,prepositions,wegen,wegen,because of,,
A2,phrases,ich bin der meinung,Ich bin der Meinung,I am of the opinion,,
A2,phrases,können sie das wiederholen,Können Sie das wiederholen?,Could you repeat that?,,
A2,phrases,es kommt darauf an,Es kommt darauf an.,It depends.,,
A2,phrases,meiner meinung nach,Meiner Meinung nach,in my opinion,,
A2,phrases,ich habe eine frage,Ich habe eine Frage.,I have a question.,,
B1,nouns,Gesellschaft,die Gesellschaft,society,die,
B1,nouns,Entwicklung,die Entwicklung,development,die,
B1,nouns,Verhalten,das Verhalten,behavior,das,
B1,nouns,Bereich,der Bereich,area,der,
B1,nouns,Zusammenhang,der Zusammenhang,connection,der,
B1,nouns,Erfolg,der Erfolg,success,der,
B1,nouns,Forschung,die Forschung,research,die,
B1,nouns,Angebot,das Angebot,offer,das,
B1,nouns,Verbesserung,die Verbesserung,improvement,die,
B1,nouns,Beziehung,die Beziehung,relationship,die,
B1,nouns,Verantwortung,die Verantwortung,responsibility,die,
B1,nouns,Voraussetzung,die Voraussetzung,requirement,die,
B1,nouns,Kenntnis,die Kenntnis,knowledge,die,
B1,nouns,Bericht,der Bericht,report,der,
B1,verbs,entscheiden,entscheiden,to decide,,
B1,verbs,vergleichen,vergleichen,to compare,,
B1,verbs,vermeiden,vermeiden,to avoid,,
B1,verbs,unterstützen,unterstützen,to support,,
B1,verbs,beschreiben,beschreiben,to describe,,
B1,verbs,bemerken,bemerken,to notice,,
B1,verbs,entwickeln,entwickeln,to develop,,
B1,verbs,erhöhen,erhöhen,to increase,,
B1,verbs,reduzieren,reduzieren,to reduce,,
B1,verbs,gelten,gelten,to apply,,
B1,adjectives,notwendig,notwendig,necessary,,
B1,adjectives,öffentlich,öffentlich,public,,
B1,adjectives,beruflich,beruflich,professional,,
B1,adjectives,vollständig,vollständig,complete,,
B1,adjectives,nachhaltig,nachhaltig,sustainable,,
B1,adjectives,abhängig,abhängig,dependent,,
B1,adjectives,wertvoll,wertvoll,valuable,,
B1,adjectives,sinnvoll,sinnvoll,meaningful,,
B1,adverbs,dennoch,dennoch,nevertheless,,
B1,adverbs,meistens,meistens,mostly,,
B1,adverbs,außerdem,außerdem,besides,,
B1,adverbs,deshalb,deshalb,therefore,,
B1,adverbs,zunächst,zunächst,initially,,
B1,prepositions,innerhalb,innerhalb,within,,
B1,prepositions,außerhalb,außerhalb,outside of,,
B1,prepositions,gemäß,gemäß,according to,,
B1,prepositions,trotz,trotz,despite,,
B1,phrases,im vergleich zu,Im Vergleich zu,in comparison to,,
B1,phrases,es handelt sich um,Es handelt sich um,It is about,,
B1,phrases,auf diese weise,Auf diese Weise,in this way,,
B1,phrases,schritt für schritt,Schritt für Schritt,step by step,,
B1,phrases,zur gleichen zeit,Zur gleichen Zeit,at the same time,,
B2,nouns,Herausforderung,die Herausforderung,challenge,die,
B2,nouns,Erkenntnis,die Erkenntnis,finding,die,
B2,nouns,Maßnahme,die Maßnahme,measure,die,
B2,nouns,Fähigkeit,die Fähigkeit,ability,die,
B2,nouns,Hinsicht,die Hinsicht,respect,die,
B2,nouns,Darstellung,die Darstellung,presentation,die,
B2,nouns,Einfluss,der Einfluss,influence,der,
B2,nouns,Aussage,die Aussage,statement,die,
B2,nouns,Strategie,die Strategie,strategy,die,
B2,nouns,Bestandteil,der Bestandteil,component,der,
B2,nouns,Verhältnis,das Verhältnis,relationship,das,
B2,nouns,Phänomen,das Phänomen,phenomenon,das,
B2,verbs,bewerten,bewerten,to evaluate,,
B2,verbs,vertreten,vertreten,to represent,,
B2,verbs,analysieren,analysieren,to analyze,,
B2,verbs,berücksichtigen,berücksichtigen,to take into account,,
B2,verbs,fördern,fördern,to promote,,
B2,verbs,beeinflussen,beeinflussen,to influence,,
B2,verbs,erfordern,erfordern,to require,,
B2,verbs,feststellen,feststellen,to determine,,
B2,verbs,beitragen,beitragen,to contribute,,
B2,verbs,vermitteln,vermitteln,to convey,,
B2,adjectives,wesentlich,wesentlich,essential,,
B2,adjectives,erheblich,erheblich,considerable,,
B2,adjectives,komplex,komplex,complex,,
B2,adjectives,relevant,relevant,relevant,,
B2,adjectives,langfristig,langfristig,long-term,,
B2,adjectives,überzeugend,überzeugend,convincing,,
B2,adjectives,sorgfältig,sorgfältig,careful,,
B2,adjectives,angemessen,angemessen,appropriate,,
B2,adjectives,präzise,präzise,precise,,
B2,adverbs,folglich,folglich,consequently,,
B2,adverbs,zugleich,zugleich,at the same time,,
B2,adverbs,allerdings,allerdings,however,,
B2,adverbs,zunehmend,zunehmend,increasingly,,
B2,adverbs,teilweise,teilweise,partly,,
B2,prepositions,hinsichtlich,hinsichtlich,regarding,,
B2,prepositions,anhand,anhand,based on,,
B2,prepositions,mithilfe,mithilfe,with the help of,,
B2,phrases,es lässt sich sagen,Es lässt sich sagen,it can be said,,
B2,phrases,im hinblick auf,Im Hinblick auf,with regard to,,
B2,phrases,darüber hinaus,Darüber hinaus,furthermore,,
B2,phrases,das hängt davon ab,Das hängt davon ab,that depends on it,,
B2,phrases,nicht nur sondern auch,Nicht nur ..., sondern auch ...,not only ... but also ...,,
C1,nouns,Rahmen,der Rahmen,framework,der,
C1,nouns,Diskurs,der Diskurs,discourse,der,
C1,nouns,Annahme,die Annahme,assumption,die,
C1,nouns,Bewertung,die Bewertung,assessment,die,
C1,nouns,Kontext,der Kontext,context,der,
C1,nouns,Begriff,der Begriff,term,der,
C1,nouns,Schlussfolgerung,die Schlussfolgerung,conclusion,die,
C1,nouns,Schwerpunkt,der Schwerpunkt,focus,der,
C1,nouns,Untersuchung,die Untersuchung,study,die,
C1,nouns,Auswirkung,die Auswirkung,effect,die,
C1,nouns,Perspektive,die Perspektive,perspective,die,
C1,nouns,Anteil,der Anteil,share,der,
C1,verbs,erläutern,erläutern,to explain in detail,,
C1,verbs,veranschaulichen,veranschaulichen,to illustrate,,
C1,verbs,einschätzen,einschätzen,to assess,,
C1,verbs,reflektieren,reflektieren,to reflect,,
C1,verbs,begründen,begründen,to justify,,
C1,verbs,differenzieren,differenzieren,to differentiate,,
C1,verbs,hervorheben,hervorheben,to emphasize,,
C1,verbs,nachweisen,nachweisen,to demonstrate,,
C1,verbs,voraussetzen,voraussetzen,to presuppose,,
C1,verbs,erörtern,erörtern,to discuss,,
C1,adjectives,differenziert,differenziert,differentiated,,
C1,adjectives,ausschlaggebend,ausschlaggebend,decisive,,
C1,adjectives,umfangreich,umfangreich,extensive,,
C1,adjectives,eindeutig,eindeutig,unambiguous,,
C1,adjectives,zutreffend,zutreffend,accurate,,
C1,adjectives,anspruchsvoll,anspruchsvoll,demanding,,
C1,adjectives,methodisch,methodisch,methodical,,
C1,adjectives,theoretisch,theoretisch,theoretical,,
C1,adverbs,demnach,demnach,accordingly,,
C1,adverbs,hingegen,hingegen,by contrast,,
C1,adverbs,entsprechend,entsprechend,accordingly,,
C1,adverbs,letztlich,letztlich,ultimately,,
C1,adverbs,insofern,insofern,in this respect,,
C1,prepositions,infolge,infolge,as a result of,,
C1,prepositions,bezüglich,bezüglich,concerning,,
C1,prepositions,ungeachtet,ungeachtet,despite,,
C1,phrases,vor diesem hintergrund,Vor diesem Hintergrund,against this background,,
C1,phrases,im mittelpunkt steht,Im Mittelpunkt steht,the focus is on,,
C1,phrases,daraus ergibt sich,Daraus ergibt sich,it follows from this,,
C1,phrases,es ist zu beachten,Es ist zu beachten,it should be noted,,
